player,game_id,is_home,margin,period,shot_made,shot_type,x,y
Tim Duncan,86,0,-5,3,1,Jump Shot,88,207
Tim Duncan,86,0,-7,3,1,Hook,45,97
Tim Duncan,86,0,-7,3,0,Jump Shot,-67,237
Tim Duncan,86,0,-4,4,0,Layup,6,65
Tim Duncan,86,0,3,4,1,Hook,6,81
Tim Duncan,86,0,5,4,0,Jump Shot,-100,206
Tim Duncan,87,1,-2,1,1,Dunk,7,50
Tim Duncan,87,1,-4,1,1,Layup,21,45
Tim Duncan,87,1,-2,1,0,Jump Shot,102,201
Tim Duncan,87,1,-2,1,0,Jump Shot,80,72
Tim Duncan,87,1,-2,1,0,Jump Shot,108,198
Tim Duncan,87,1,2,1,0,Jump Shot,-106,196
Tim Duncan,87,1,-2,1,1,Layup,-4,50
Tim Duncan,87,1,-2,2,0,Jump Shot,-79,76
Tim Duncan,87,1,1,2,0,Layup,26,47
Tim Duncan,87,1,1,2,0,Layup,-18,64
Tim Duncan,87,1,-6,3,0,Layup,-23,67
Tim Duncan,87,1,-14,4,0,Jump Shot,1,89
Tim Duncan,87,0,-2,1,0,Layup,-18,47
Tim Duncan,87,0,0,1,0,Jump Shot,-101,169
Tim Duncan,87,0,2,1,1,Layup,28,47
Tim Duncan,87,0,11,3,1,Layup,18,57
Tim Duncan,87,0,10,3,0,Jump Shot,-4,231
Tim Duncan,87,0,3,4,0,Special Jump Shot,69,62
Tim Duncan,87,0,3,4,0,Jump Shot,-92,206
Tim Duncan,87,0,9,4,1,Jump Shot,73,201
Tim Duncan,88,1,-7,1,1,Jump Shot,-146,125
Tim Duncan,88,1,-16,2,1,Jump Shot,-49,76
Tim Duncan,88,1,-25,2,1,Jump Shot,-112,199
Tim Duncan,88,1,-35,3,1,Dunk,9,73
Tim Duncan,88,1,0,1,0,Jump Shot,-71,97
Tim Duncan,88,1,-2,1,1,Jump Shot,45,72
Tim Duncan,88,1,-15,2,0,Jump Shot,-57,207
Tim Duncan,88,1,-19,2,1,Jump Shot,-64,59
Tim Duncan,88,1,-23,3,1,Jump Shot,-127,65
Tim Duncan,88,1,-22,3,0,Special Jump Shot,40,54
Tim Duncan,88,1,-22,3,1,Special Jump Shot,13,81
Tim Duncan,89,0,0,1,0,Layup,26,56
Tim Duncan,89,0,0,1,1,Layup,-23,50
Tim Duncan,89,0,0,1,0,Special Jump Shot,-98,57
Tim Duncan,89,0,2,1,1,Jump Shot,-13,182
Tim Duncan,89,0,2,2,0,Layup,12,65
Tim Duncan,89,0,3,2,1,Layup,6,67
Tim Duncan,89,0,3,3,0,Jump Shot,1,236
Tim Duncan,89,0,3,3,1,Special Jump Shot,-95,50
Tim Duncan,89,0,1,3,0,Jump Shot,-18,250
Tim Duncan,89,0,-5,3,0,Layup,26,45
Tim Duncan,89,0,-6,4,0,Tip,15,48
Tim Duncan,89,0,-7,4,1,Jump Shot,152,108
Tim Duncan,91,0,2,1,1,Jump Shot,2,223
Tim Duncan,91,0,2,1,1,Layup,10,65
Tim Duncan,91,0,-1,1,1,Jump Shot,21,83
Tim Duncan,91,0,1,1,1,Jump Shot,91,201
Tim Duncan,91,0,-6,1,0,Jump Shot,42,157
Tim Duncan,91,0,8,2,1,Jump Shot,-108,92
Tim Duncan,91,0,10,2,1,Jump Shot,-57,223
Tim Duncan,91,0,14,2,1,Alleyoop,-5,53
Tim Duncan,91,0,19,2,1,Layup,-4,76
Tim Duncan,91,0,18,2,0,Jump Shot,-38,139
Tim Duncan,91,0,18,3,0,Jump Shot,4,251
Tim Duncan,91,0,15,3,0,Jump Shot,-114,113
Tim Duncan,91,0,14,3,0,Hook,77,106
Tim Duncan,91,1,-2,1,1,Jump Shot,-153,57
Tim Duncan,91,1,-1,1,1,Jump Shot,124,176
Tim Duncan,91,1,-1,1,0,Jump Shot,-144,98
Tim Duncan,91,1,-1,1,0,Jump Shot,-131,81
Tim Duncan,91,1,3,1,0,Jump Shot,-95,207
Tim Duncan,91,1,11,2,1,Jump Shot,-68,214
Tim Duncan,91,1,15,3,1,Hook,-32,72
Tim Duncan,91,1,12,3,1,Alleyoop,7,73
Tim Duncan,91,1,10,3,1,Layup,-13,51
Tim Duncan,91,1,-1,4,0,Jump Shot,6,102
Tim Duncan,91,1,0,4,1,Layup,-13,69
Tim Duncan,91,1,-1,4,1,Layup,-2,62
Tim Duncan,91,1,6,4,0,Jump Shot,-57,294
Tim Duncan,92,1,0,1,0,Jump Shot,91,45
Tim Duncan,92,1,1,1,1,Hook,-11,105
Tim Duncan,92,1,1,1,1,Layup,6,62
Tim Duncan,92,1,-2,2,1,Jump Shot,-93,199
Tim Duncan,92,1,-2,2,1,Special Jump Shot,-21,95
Tim Duncan,92,1,3,2,0,Layup,-5,61
Tim Duncan,92,1,3,2,0,Jump Shot,75,61
Tim Duncan,92,1,-1,2,1,Jump Shot,-43,86
Tim Duncan,92,1,-1,3,1,Layup,7,62
Tim Duncan,92,1,2,3,1,Layup,2,64
Tim Duncan,92,1,4,3,0,Layup,-16,53
Tim Duncan,92,1,-4,4,0,Jump Shot,102,65
Tim Duncan,92,1,-8,4,1,Layup,-2,56
Tim Duncan,92,1,-2,4,1,Layup,-5,72
Tim Duncan,92,1,-2,4,1,Jump Shot,106,168
Tim Duncan,92,1,0,1,0,Hook,-35,94
Tim Duncan,92,1,-2,1,1,Jump Shot,125,193
Tim Duncan,92,1,0,1,0,Layup,23,50
Tim Duncan,92,1,-2,1,1,Tip,0,67
Tim Duncan,92,1,2,1,0,Jump Shot,-108,190
Tim Duncan,92,1,-3,1,0,Special Jump Shot,-122,114
Tim Duncan,92,1,-4,1,1,Layup,0,57
Tim Duncan,92,1,2,2,0,Layup,21,44
Tim Duncan,92,1,14,3,0,Jump Shot,-122,195
Tim Duncan,92,1,17,3,0,Tip,6,54
Tim Duncan,94,0,0,1,0,Jump Shot,15,192
Tim Duncan,94,0,-2,1,0,Hook,70,67
Tim Duncan,94,0,-4,1,0,Jump Shot,-108,192
Tim Duncan,94,0,-2,1,1,Jump Shot,72,242
Tim Duncan,94,0,-4,1,0,Jump Shot,95,192
Tim Duncan,94,0,-5,1,1,Hook,-41,57
Tim Duncan,94,0,0,2,0,Hook,-48,125
Tim Duncan,94,0,10,3,1,Tip,11,49
Tim Duncan,94,0,9,3,1,Jump Shot,-32,212
Tim Duncan,94,0,9,3,1,Layup,-4,75
Tim Duncan,94,0,9,3,1,Dunk,12,56
Tim Duncan,94,0,2,1,1,Jump Shot,37,236
Tim Duncan,94,0,7,1,1,Jump Shot,-136,158
Tim Duncan,94,0,7,1,0,Jump Shot,-153,151
Tim Duncan,94,0,13,1,0,Jump Shot,-139,163
Tim Duncan,94,0,11,1,1,Layup,-8,51
Tim Duncan,94,0,13,1,1,Jump Shot,-139,70
Tim Duncan,94,0,17,1,1,Tip,-2,50
Tim Duncan,94,0,17,1,1,Jump Shot,-26,228
Tim Duncan,94,0,23,2,1,Layup,-13,50
Tim Duncan,94,0,22,3,0,Jump Shot,-108,198
Tim Duncan,94,0,26,3,1,Layup,-5,57
Tim Duncan,94,0,31,3,1,Jump Shot,-122,181
Tim Duncan,94,1,-1,1,0,Jump Shot,-54,242
Tim Duncan,94,1,-1,1,1,Layup,-7,53
Tim Duncan,94,1,-4,1,0,Special Jump Shot,-78,56
Tim Duncan,94,1,1,1,0,Jump Shot,144,124
Tim Duncan,94,1,-1,1,0,Jump Shot,-7,190
Tim Duncan,94,1,0,1,1,Jump Shot,105,199
Tim Duncan,94,1,0,2,1,Layup,-7,65
Tim Duncan,94,1,-7,2,1,Layup,1,59
Tim Duncan,94,1,-8,3,0,Jump Shot,-11,239
Tim Duncan,94,1,-1,4,0,Tip,-5,67
Tim Duncan,94,1,-1,4,1,Layup,-2,48
Tim Duncan,94,0,0,1,0,Jump Shot,-164,139
Tim Duncan,94,0,0,1,0,Hook,1,125
Tim Duncan,94,0,-4,1,1,Jump Shot,-82,233
Tim Duncan,94,0,-4,1,0,Jump Shot,-75,226
Tim Duncan,94,0,-2,1,0,Jump Shot,-68,220
Tim Duncan,94,0,4,1,1,Jump Shot,42,237
Tim Duncan,94,0,-1,1,0,Jump Shot,64,209
Tim Duncan,94,0,19,2,1,Dunk,9,51
Tim Duncan,94,0,19,2,1,Tip,4,69
Tim Duncan,94,0,19,2,0,Tip,9,73
Tim Duncan,94,0,17,2,1,Special Jump Shot,-65,89
Tim Duncan,94,0,11,3,1,Special Jump Shot,88,89
Tim Duncan,94,0,16,3,1,Layup,15,56
Tim Duncan,94,0,16,3,1,Layup,26,57
Tim Duncan,94,0,16,4,1,Special Jump Shot,-147,121
Tim Duncan,95,0,-1,1,0,Jump Shot,-78,215
Tim Duncan,95,0,-1,1,1,Dunk,13,50
Tim Duncan,95,0,-2,1,0,Jump Shot,111,193
Tim Duncan,95,0,7,1,1,Tip,-8,48
Tim Duncan,95,0,6,1,1,Layup,26,42
Tim Duncan,95,0,8,1,1,Layup,0,54
Tim Duncan,95,0,-3,2,0,Dunk,21,40
Tim Duncan,95,0,-8,2,1,Layup,-10,47
Tim Duncan,95,0,-8,2,0,Hook,34,48
Tim Duncan,95,0,-8,2,0,Jump Shot,-2,114
Tim Duncan,95,0,-1,3,0,Jump Shot,-117,111
Tim Duncan,95,0,-1,3,0,Layup,-15,51
Tim Duncan,97,0,-3,1,1,Layup,6,59
Tim Duncan,97,0,-8,1,0,Jump Shot,-43,138
Tim Duncan,97,0,-8,1,0,Layup,15,62
Tim Duncan,97,0,-8,1,0,Tip,-16,61
Tim Duncan,97,0,-1,2,1,Jump Shot,-125,210
Tim Duncan,97,0,3,2,1,Layup,0,70
Tim Duncan,97,0,5,3,1,Special Jump Shot,37,176
Tim Duncan,97,0,2,3,0,Jump Shot,-87,192
Tim Duncan,97,0,2,3,1,Jump Shot,86,87
Tim Duncan,97,0,0,4,0,Layup,2,62
Tim Duncan,97,0,9,4,1,Layup,7,61
Tim Duncan,98,1,-3,1,1,Layup,0,64
Tim Duncan,98,1,-3,1,0,Jump Shot,-93,207
Tim Duncan,98,1,-3,1,1,Layup,-15,65
Tim Duncan,98,1,-2,1,0,Jump Shot,23,117
Tim Duncan,98,1,5,2,1,Dunk,7,57
Tim Duncan,98,1,9,3,0,Layup,1,73
Tim Duncan,98,1,9,3,1,Jump Shot,58,73
Tim Duncan,98,1,7,3,0,Jump Shot,24,95
Tim Duncan,98,1,8,3,0,Layup,4,76
Tim Duncan,98,1,9,3,1,Jump Shot,-123,190
Tim Duncan,98,1,11,3,0,Jump Shot,91,97
Tim Duncan,98,1,7,3,1,Dunk,1,54
Tim Duncan,98,1,10,4,0,Layup,0,54
Tim Duncan,98,1,8,4,1,Layup,-19,62
Tim Duncan,98,1,2,1,0,Layup,4,69
Tim Duncan,98,1,-4,1,0,Jump Shot,31,54
Tim Duncan,98,1,-3,1,0,Jump Shot,56,94
Tim Duncan,98,1,-3,1,1,Jump Shot,-41,51
Tim Duncan,98,1,-5,1,1,Layup,-21,51
Tim Duncan,98,1,-5,2,0,Jump Shot,13,231
Tim Duncan,98,1,-6,2,0,Jump Shot,-24,233
Tim Duncan,98,1,-5,3,1,Tip,18,54
Tim Duncan,98,1,-6,3,1,Layup,20,53
Tim Duncan,98,1,-8,3,0,Jump Shot,86,39
Tim Duncan,98,1,-5,3,0,Special Jump Shot,88,40
Tim Duncan,98,1,-10,4,0,Jump Shot,-79,220
Tim Duncan,98,1,-10,4,0,Jump Shot,-32,45
Tim Duncan,99,1,6,1,0,Jump Shot,-147,84
Tim Duncan,99,1,15,1,0,Jump Shot,72,209
Tim Duncan,99,1,16,1,1,Tip,-7,45
Tim Duncan,99,1,10,2,1,Dunk,-7,62
Tim Duncan,99,1,12,2,0,Jump Shot,6,108
Tim Duncan,99,1,6,2,1,Jump Shot,24,244
Tim Duncan,99,1,9,2,0,Layup,-19,42
Tim Duncan,99,1,11,3,0,Layup,1,64
Tim Duncan,99,1,7,3,0,Jump Shot,-54,203
Tim Duncan,99,1,5,4,1,Layup,7,54
Tim Duncan,99,1,10,4,0,Jump Shot,-43,152
Tim Duncan,99,0,-2,1,1,Jump Shot,94,193
Tim Duncan,99,0,0,1,1,Layup,2,53
Tim Duncan,99,0,0,1,0,Jump Shot,10,237
Tim Duncan,99,0,-2,1,0,Hook,72,67
Tim Duncan,99,0,8,2,0,Layup,-13,47
Tim Duncan,99,0,10,2,1,Layup,-10,57
Tim Duncan,99,0,10,2,1,Tip,20,50
Tim Duncan,99,0,8,2,0,Jump Shot,-87,212
Tim Duncan,99,0,7,2,0,Jump Shot,-59,64
Tim Duncan,99,0,4,3,1,Layup,20,53
Tim Duncan,99,0,9,3,0,Special Jump Shot,81,97
Tim Duncan,99,0,5,3,0,Jump Shot,140,98
Tim Duncan,99,0,11,4,0,Hook,43,59
Tim Duncan,99,0,5,4,1,Layup,24,53
Tim Duncan,99,0,5,4,1,Layup,4,59
Tim Duncan,100,1,0,1,0,Jump Shot,88,182
Tim Duncan,100,1,-1,1,1,Special Jump Shot,-122,80
Tim Duncan,100,1,-1,1,1,Layup,-8,50
Tim Duncan,100,1,-3,1,1,Layup,12,44
Tim Duncan,100,1,-5,1,0,Jump Shot,143,89
Tim Duncan,100,1,-12,2,0,Jump Shot,91,62
Tim Duncan,100,1,-12,2,1,Alleyoop,-2,50
Tim Duncan,100,1,-9,2,0,Jump Shot,-139,184
Tim Duncan,100,1,-8,2,0,Layup,9,45
Tim Duncan,100,1,-10,3,1,Jump Shot,-19,193
Tim Duncan,100,1,-8,3,0,Jump Shot,-108,177
Tim Duncan,100,1,-8,3,1,Layup,0,72
Tim Duncan,100,1,0,3,0,Jump Shot,39,225
Tim Duncan,100,1,2,4,1,Jump Shot,-70,89
Tim Duncan,100,1,-2,4,1,Hook,62,76
Tim Duncan,100,1,-3,4,0,Jump Shot,39,226
Tim Duncan,101,1,1,1,0,Jump Shot,-111,133
Tim Duncan,101,1,-7,1,1,Special Jump Shot,-98,72
Tim Duncan,101,1,-10,1,1,Jump Shot,-38,226
Tim Duncan,101,1,-14,1,1,Jump Shot,-52,234
Tim Duncan,101,1,-21,2,0,Jump Shot,-100,193
Tim Duncan,101,1,-24,3,0,Jump Shot,48,51
Tim Duncan,101,1,-23,3,0,Layup,15,50
Tim Duncan,101,1,-25,3,1,Tip,-15,50
Tim Duncan,101,1,-25,3,1,Special Jump Shot,39,98
Tim Duncan,101,1,-26,3,1,Dunk,4,40
Tim Duncan,101,1,-26,3,1,Jump Shot,-78,173
Tim Duncan,101,1,-3,1,0,Jump Shot,-123,193
Tim Duncan,101,1,0,1,0,Jump Shot,-179,34
Tim Duncan,101,1,4,1,1,Layup,-13,67
Tim Duncan,101,1,-1,2,1,Layup,-16,44
Tim Duncan,101,1,9,3,0,Jump Shot,86,42
Tim Duncan,101,1,6,4,0,Layup,20,65
Tim Duncan,101,1,-2,4,1,Layup,21,42
Tim Duncan,103,1,-2,1,1,Special Jump Shot,36,81
Tim Duncan,103,1,-2,1,0,Jump Shot,0,199
Tim Duncan,103,1,-2,1,0,Jump Shot,149,86
Tim Duncan,103,1,-7,1,1,Jump Shot,20,105
Tim Duncan,103,1,-16,1,1,Jump Shot,56,154
Tim Duncan,103,1,-22,2,0,Jump Shot,69,190
Tim Duncan,103,1,-29,2,0,Layup,-19,59
Tim Duncan,103,1,-31,2,1,Layup,1,54
Tim Duncan,103,1,-31,2,0,Layup,4,59
Tim Duncan,103,1,-33,2,1,Dunk,0,54
Tim Duncan,103,1,-33,2,0,Special Jump Shot,-27,114
Tim Duncan,103,1,-37,3,1,Jump Shot,78,67
Tim Duncan,103,1,-35,3,0,Special Jump Shot,59,106
Tim Duncan,103,1,-31,3,0,Jump Shot,-89,69
Tim Duncan,103,1,-22,3,1,Jump Shot,-84,199
Tim Duncan,103,1,-15,4,1,Jump Shot,36,108
Tim Duncan,103,1,-18,4,1,Jump Shot,94,199
Tim Duncan,103,1,-21,4,0,Jump Shot,-129,213
Tim Duncan,105,0,2,1,1,Jump Shot,54,223
Tim Duncan,105,0,4,1,1,Jump Shot,37,234
Tim Duncan,105,0,6,1,0,Jump Shot,36,236
Tim Duncan,105,0,14,2,1,Special Jump Shot,61,158
Tim Duncan,105,0,14,2,1,Layup,18,64
Tim Duncan,105,0,11,2,1,Jump Shot,67,65
Tim Duncan,105,0,14,3,1,Jump Shot,-95,187
Tim Duncan,105,0,13,3,0,Jump Shot,143,147
Tim Duncan,105,0,11,3,0,Jump Shot,75,240
Tim Duncan,105,0,11,3,1,Layup,0,51
Tim Duncan,105,0,9,3,0,Jump Shot,-48,225
Tim Duncan,105,0,5,3,0,Special Jump Shot,-86,50
Tim Duncan,105,0,15,4,0,Jump Shot,31,57
Tim Duncan,105,0,11,4,1,Jump Shot,65,84
Tim Duncan,105,0,2,5,1,Jump Shot,102,53
Tim Duncan,105,1,-2,1,1,Special Jump Shot,-54,73
Tim Duncan,105,1,-2,1,0,Jump Shot,80,231
Tim Duncan,105,1,-9,2,1,Tip,4,61
Tim Duncan,105,1,-7,2,0,Jump Shot,-75,83
Tim Duncan,105,1,-10,2,1,Jump Shot,-116,193
Tim Duncan,105,1,-11,3,1,Jump Shot,-71,228
Tim Duncan,105,1,-10,3,1,Dunk,0,62
Tim Duncan,105,1,-10,3,0,Jump Shot,18,210
Tim Duncan,106,1,-4,1,1,Layup,6,56
Tim Duncan,106,1,0,1,0,Special Jump Shot,-133,80
Tim Duncan,106,1,-3,2,0,Jump Shot,-92,225
Tim Duncan,106,1,-3,3,1,Jump Shot,-130,91
Tim Duncan,106,1,-5,3,1,Jump Shot,108,192
Tim Duncan,106,1,-8,3,1,Jump Shot,-23,176
Tim Duncan,106,1,-8,3,1,Layup,20,47
Tim Duncan,106,1,-6,3,0,Jump Shot,-92,53
Tim Duncan,106,1,-14,4,0,Layup,-8,45
Tim Duncan,106,0,0,1,0,Jump Shot,-172,50
Tim Duncan,106,0,-2,1,1,Layup,-15,56
Tim Duncan,106,0,-1,1,0,Jump Shot,-75,226
Tim Duncan,106,0,-4,2,1,Layup,17,54
Tim Duncan,106,0,-3,2,0,Hook,-60,91
Tim Duncan,106,0,-1,3,1,Tip,-18,65
Tim Duncan,106,0,-8,3,1,Layup,-10,59
Tim Duncan,106,0,-6,3,1,Hook,6,95
Tim Duncan,106,0,-4,3,1,Tip,10,64
Tim Duncan,106,0,-6,3,0,Jump Shot,-43,217
Tim Duncan,106,0,-2,3,1,Layup,26,48
Tim Duncan,106,0,-1,3,0,Jump Shot,-89,223
Tim Duncan,106,0,1,4,0,Layup,1,64
Tim Duncan,107,1,-4,1,0,Jump Shot,-43,217
Tim Duncan,107,1,0,2,1,Jump Shot,80,207
Tim Duncan,107,1,-1,2,1,Alleyoop,17,54
Tim Duncan,107,1,-3,2,1,Jump Shot,70,102
Tim Duncan,107,1,-5,3,1,Jump Shot,-114,110
Tim Duncan,107,1,-9,3,1,Jump Shot,-37,103
Tim Duncan,107,1,-12,3,1,Jump Shot,-78,204
Tim Duncan,107,1,-18,3,1,Layup,10,73
Tim Duncan,108,1,-2,1,1,Jump Shot,-139,127
Tim Duncan,108,1,-2,1,0,Layup,-19,57
Tim Duncan,108,1,-4,1,1,Layup,2,54
Tim Duncan,108,1,-4,1,0,Jump Shot,-128,177
Tim Duncan,108,1,4,2,0,Jump Shot,-109,198
Tim Duncan,108,1,4,2,1,Jump Shot,-84,97
Tim Duncan,108,1,7,2,0,Layup,0,76
Tim Duncan,108,1,6,3,0,Jump Shot,-116,193
Tim Duncan,108,1,8,3,0,Layup,-4,64
Tim Duncan,108,1,10,3,1,Special Jump Shot,6,121
Tim Duncan,108,1,8,3,0,Layup,-7,64
Tim Duncan,108,1,-3,4,0,Special Jump Shot,-70,106
Tim Duncan,108,1,-1,4,0,Jump Shot,105,214
Tim Duncan,108,1,-1,4,1,Tip,4,56
Tim Duncan,108,1,4,4,0,Jump Shot,99,220
Tim Duncan,108,1,7,4,1,Layup,15,53
Tim Duncan,108,1,1,1,1,Jump Shot,-76,223
Tim Duncan,108,1,0,1,0,Layup,-24,67
Tim Duncan,108,1,-14,2,1,Hook,18,97
Tim Duncan,108,1,-14,2,1,Jump Shot,-82,53
Tim Duncan,108,1,-13,2,0,Jump Shot,-95,222
Tim Duncan,108,1,-15,2,1,Special Jump Shot,-45,110
Tim Duncan,108,1,-21,3,0,Jump Shot,-97,198
Tim Duncan,108,1,3,1,1,Jump Shot,-100,236
Tim Duncan,108,1,5,1,0,Jump Shot,-95,206
Tim Duncan,108,1,8,1,1,Layup,1,51
Tim Duncan,108,1,6,1,1,Jump Shot,-73,53
Tim Duncan,108,1,3,2,0,Jump Shot,-119,59
Tim Duncan,108,1,-2,2,0,Jump Shot,56,67
Tim Duncan,108,1,0,3,1,Hook,81,65
Tim Duncan,108,1,-2,3,1,Jump Shot,-56,92
Tim Duncan,108,1,-4,3,1,Jump Shot,59,239
Tim Duncan,108,1,6,4,0,Jump Shot,198,50
Tim Duncan,108,0,2,1,1,Jump Shot,-52,244
Tim Duncan,108,0,4,1,1,Jump Shot,135,195
Tim Duncan,108,0,4,1,0,Jump Shot,-38,234
Tim Duncan,108,0,4,1,1,Jump Shot,67,223
Tim Duncan,108,0,3,1,1,Layup,20,57
Tim Duncan,108,0,3,1,0,Special Jump Shot,32,59
Tim Duncan,108,0,19,2,1,Jump Shot,-26,206
Tim Duncan,108,0,19,2,1,Tip,4,50
Tim Duncan,108,0,18,2,0,Layup,4,54
Tim Duncan,108,0,25,3,1,Jump Shot,48,242
Tim Duncan,108,0,21,3,0,Special Jump Shot,102,114
Tim Duncan,108,0,23,3,0,Tip,-4,50
Tim Duncan,108,0,21,3,0,Jump Shot,-56,233
Tim Duncan,108,0,-2,1,1,Jump Shot,1,247
Tim Duncan,108,0,-6,1,0,Jump Shot,-54,300
Tim Duncan,108,0,-4,1,1,Jump Shot,73,106
Tim Duncan,108,0,-4,1,1,Layup,15,53
Tim Duncan,108,0,-2,2,1,Jump Shot,-78,62
Tim Duncan,108,0,-2,2,0,Jump Shot,34,61
Tim Duncan,108,0,-5,2,1,Jump Shot,-81,218
Tim Duncan,108,0,-3,2,1,Hook,6,92
Tim Duncan,108,0,-6,3,1,Layup,13,65
Tim Duncan,108,0,-8,3,1,Hook,51,83
Tim Duncan,108,0,-4,3,1,Layup,12,62
Tim Duncan,108,0,2,1,1,Special Jump Shot,2,144
Tim Duncan,108,0,9,1,1,Layup,15,56
Tim Duncan,108,0,11,1,1,Layup,40,61
Tim Duncan,108,0,15,1,1,Dunk,-7,50
Tim Duncan,108,0,10,2,1,Special Jump Shot,-98,89
