time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-09-09T05:53:17.060Z,-18.0466,-178.4319,588.9,4.6,mb,,53,3.36,0.72,us,usb000salx,2014-09-09T13:55:53.417Z,"289km N of Ndoi Island, Fiji",earthquake
2014-09-09T01:41:17.000Z,58.301,-136.909,28.3,3.4,ml,,,,0.96,ak,ak11383892,2014-09-09T09:45:12.285Z,"69km W of Gustavus, Alaska",earthquake
2014-09-09T01:40:44.800Z,18.7686,-68.0764,128,3.2,Md,7,230.4,0.38358063,0.17,pr,pr14252002,2014-09-09T09:43:16.167Z,"40km ENE of Punta Cana, Dominican Republic",earthquake
2014-09-09T01:07:32.070Z,64.6229,-17.5156,6.78,5.4,mwp,,97,6.125,1.19,us,usb000sal7,2014-09-09T21:51:35.000Z,"118km WNW of Hofn, Iceland",earthquake
2014-09-09T00:26:24.390Z,5.0771,120.7964,6.03,5.1,mb,,40,2.291,0.88,us,usb000sal2,2014-09-09T08:28:53.601Z,"43km S of Manubul, Philippines",earthquake
2014-09-08T21:57:48.000Z,61.2728,-141.1103,6.7,3.3,ml,,,,0.93,ak,ak11383733,2014-09-09T06:00:20.972Z,"152km NNE of Cape Yakataga, Alaska",earthquake
2014-09-08T21:36:54.690Z,-20.1964,-177.2851,488.91,4.9,mb,,139,5.04,1.09,us,usb000sajr,2014-09-09T05:39:21.801Z,"155km ENE of Ndoi Island, Fiji",earthquake
2014-09-08T21:02:14.900Z,36.8539,-97.8867,6.175,3.5,ml,,86,,0.96,us,usb000saj4,2014-09-08T21:39:19.360Z,"14km WNW of Medford, Oklahoma",earthquake
2014-09-08T20:30:43.940Z,16.4045,-98.1841,31.6,4.7,mb,,142,1.208,0.93,us,usb000saiq,2014-09-10T06:11:36.884Z,"20km WNW of Santiago Pinotepa Nacional, Mexico",earthquake
2014-09-08T19:28:19.000Z,-10.48,-75.47,32,4.4,mb,,,,1.93,us,usb000sayr,2014-09-10T05:30:34.468Z,"13km NW of Oxapampa, Peru",earthquake
2014-09-08T19:07:00.140Z,1.0597,99.9864,196.93,4.9,mb,,85,1.28,0.71,us,usb000sahj,2014-09-10T17:44:03.734Z,"86km ESE of Padangsidempuan, Indonesia",earthquake
2014-09-08T18:49:25.970Z,17.5357,-100.7331,41,4.3,mb,,200,2.067,0.94,us,usb000sahb,2014-09-10T17:19:51.923Z,"32km N of Tecpan de Galeana, Mexico",earthquake
2014-09-08T18:18:11.070Z,-55.311,-27.9581,27.46,4.7,mb,,114,5.042,0.45,us,usb000sah1,2014-09-10T15:38:34.806Z,"161km NNW of Visokoi Island, ",earthquake
2014-09-08T18:11:20.080Z,-56.9036,-26.3032,100.84,4.8,mb,,77,6.341,0.52,us,usb000sagy,2014-09-09T02:14:49.513Z,"59km ESE of Visokoi Island, ",earthquake
2014-09-08T18:04:22.500Z,36.8141,-97.7236,3.021,3.6,ml,,69,,0.62,us,usb000sag6,2014-09-10T15:32:46.684Z,"1km NE of Medford, Oklahoma",earthquake
2014-09-08T17:53:17.180Z,-5.3522,146.7286,226.02,5.3,mb,,11,4.048,0.99,us,usb000safz,2014-09-10T13:53:08.754Z,"104km E of Madang, Papua New Guinea",earthquake
2014-09-08T16:21:34.000Z,36.8212,-97.7217,5,3.9,mwr,,68,,0.59,us,usb000saei,2014-09-09T21:56:53.735Z,"1km NE of Medford, Oklahoma",earthquake
2014-09-08T15:23:30.950Z,37.2714,-97.6235,6.55,3.1,mb_lg,,88,0.216,0.43,us,usb000sacr,2014-09-08T20:54:33.254Z,"13km S of Conway Springs, Kansas",earthquake
2014-09-08T15:21:21.870Z,-6.7008,155.3028,79.08,4.7,mb,,55,3.997,0.68,us,usb000sacu,2014-09-08T23:24:00.253Z,"47km SSW of Panguna, Papua New Guinea",earthquake
2014-09-08T14:48:00.070Z,64.6911,-17.6125,7.83,4.7,mb,,69,1.595,0.65,us,usb000sacd,2014-09-08T22:50:35.842Z,"112km SSE of Akureyri, Iceland",earthquake
2014-09-08T13:42:12.600Z,18.8031,-106.9532,56.43,4.8,mb,,95,5.474,0.77,us,usb000sabu,2014-09-08T21:45:11.132Z,"218km SW of Tomatlan, Mexico",earthquake
2014-09-08T13:11:00.360Z,14.2887,92.8615,28.5,4.6,mb,,73,2.619,0.94,us,usb000sabl,2014-09-08T21:13:31.003Z,"286km N of Bamboo Flat, India",earthquake
2014-09-08T12:56:52.900Z,37.262,-97.6345,4.92,3.4,mwr,,38,0.205,0.35,us,usb000sab9,2014-09-10T15:36:21.500Z,"14km S of Conway Springs, Kansas",earthquake
2014-09-08T07:20:07.170Z,64.5077,-17.71,10,4.6,mb,,112,1.576,1.48,us,usb000sa9q,2014-09-08T15:28:16.632Z,"124km WNW of Hofn, Iceland",earthquake
2014-09-08T06:34:14.000Z,51.7538,178.6175,89,3.1,ml,,,,0.42,ak,ak11383347,2014-09-08T17:15:47.008Z,"23km SSE of Little Sitkin Island, Alaska",earthquake
2014-09-08T06:15:43.880Z,64.6771,-17.8075,10,4.4,mb,,139,1.513,1.26,us,usb000sa9k,2014-09-08T14:18:12.199Z,"112km S of Akureyri, Iceland",earthquake
2014-09-08T06:10:57.680Z,35.6413333,-121.0788333,4.16,3.09,ml,95,97,0.04258,0.07,nc,nc72294261,2014-09-09T06:14:52.815Z,"8km N of Cambria, California",earthquake
2014-09-08T05:40:57.920Z,55.063,165.6223,10,4.6,mb,,126,4.589,0.79,us,usb000sa9f,2014-09-08T13:43:23.254Z,"27km WSW of Nikol'skoye, Russia",earthquake
2014-09-08T05:02:23.260Z,-21.0332,-178.7142,578.09,4.4,mb,,115,4.473,0.81,us,usb000sa9a,2014-09-08T13:05:38.973Z,"42km S of Ndoi Island, Fiji",earthquake
2014-09-08T04:18:56.740Z,34.518,-118.7825,14.16,3.64,ml,110,17,0.05996,0.3,ci,ci37265672,2014-09-10T03:05:08.661Z,"12km N of Piru, California",earthquake
2014-09-08T04:06:38.690Z,-11.2769,164.3829,5.96,4.7,mb,,86,4.73,0.78,us,usb000sa90,2014-09-08T12:10:58.624Z,"170km WSW of Lata, Solomon Islands",earthquake
2014-09-08T01:52:57.910Z,36.815,-97.7098,4.65,3.1,mb_lg,,67,0.271,0.53,us,usb000sa8r,2014-09-08T19:15:27.999Z,"2km ENE of Medford, Oklahoma",earthquake
2014-09-07T19:04:27.700Z,18.916,-66.265,49,3.1,Md,5,259.2,0.73122864,0.25,pr,pr14250002,2014-09-08T03:06:56.926Z,"50km N of Dorado, Puerto Rico",earthquake
2014-09-07T17:04:49.340Z,27.2336,67.3334,30.18,4.4,mb,,171,7.43,1.16,us,usb000sa6x,2014-09-08T01:07:18.042Z,"42km WNW of Khairpur Nathan Shah, Pakistan",earthquake
2014-09-07T16:26:33.830Z,12.8329,-88.3597,72.34,4.5,mb,,155,1.2,0.91,us,usb000sa6p,2014-09-08T00:29:13.402Z,"48km SSW of Jucuaran, El Salvador",earthquake
2014-09-07T15:55:50.550Z,4.467,127.906,66.66,5.2,mb,,81,3.47,0.86,us,usb000sa6m,2014-09-07T23:58:24.034Z,"283km SE of Pondaguitan, Philippines",earthquake
2014-09-07T15:45:35.000Z,40.3092,-124.6107,19.5,3,Ml,56,230.4,0.25152828,0.25,nc,nc72293696,2014-09-09T05:11:41.700Z,"41km SW of Ferndale, California",earthquake
2014-09-07T15:11:45.780Z,-14.6882,-75.1945,65.87,4.8,mb,,150,3.127,0.61,us,usb000sa6e,2014-09-07T23:14:30.153Z,"17km S of Palpa, Peru",earthquake
2014-09-07T15:05:26.000Z,60.2939,-152.9688,122,3,ml,,,,0.74,ak,ak11382627,2014-09-07T23:07:52.252Z,"24km SSW of Redoubt Volcano, Alaska",earthquake
2014-09-07T14:31:45.820Z,-25.2311,-69.2604,109.62,4.5,mb,,88,0.306,0.96,us,usb000sa75,2014-09-07T22:34:12.843Z,"124km E of Taltal, Chile",earthquake
2014-09-07T12:13:56.820Z,32.2221667,-117.6038333,32.31,4.04,ml,16,201,0.5405,0.21,ci,ci37265488,2014-09-09T18:20:08.720Z,"55km WSW of Rosarito, Mexico",earthquake
2014-09-07T11:46:21.760Z,0.8537,146.1839,16.07,5.1,mb,,58,7.798,0.78,us,usb000sa5m,2014-09-07T19:48:50.847Z,"Federated States of Micronesia region",earthquake
2014-09-07T10:45:01.640Z,44.0983,10.7808,7.73,4.3,mb,,56,0.289,1.1,us,usb000sa55,2014-09-09T07:50:46.625Z,"2km E of Cutigliano, Italy",earthquake
2014-09-07T10:31:54.050Z,43.1567,-29.0071,10,4.7,mb,,54,4.468,0.92,us,usb000sa52,2014-09-07T18:34:30.569Z,"Northern Mid-Atlantic Ridge",earthquake
2014-09-07T09:56:28.280Z,37.6799,19.9361,32.6,4.6,mb,,80,1.66,1.22,us,usb000sa4x,2014-09-07T18:05:50.071Z,"72km SW of Lixourion, Greece",earthquake
2014-09-07T09:33:00.720Z,-6.9798,103.8352,28.62,4.5,mb,,93,2.745,0.98,us,usb000sa4r,2014-09-07T17:35:35.966Z,"183km S of Biha, Indonesia",earthquake
2014-09-07T08:12:54.130Z,36.6458,54.7579,10,4.3,mb,,84,2.969,1.26,us,usb000sa42,2014-09-07T16:24:52.709Z,"31km NW of Shahrud, Iran",earthquake
2014-09-07T07:07:59.410Z,64.5744,-17.5384,5,5.2,mb,,73,1.639,1.31,us,usb000sa3x,2014-09-09T15:59:42.000Z,"117km WNW of Hofn, Iceland",earthquake
2014-09-07T05:37:42.190Z,2.6664,128.302,49.32,4.7,mb,,112,2.101,0.68,us,usb000sa3j,2014-09-07T13:46:04.525Z,"108km NNE of Tobelo, Indonesia",earthquake
2014-09-07T05:23:48.770Z,-3.7727,151.3737,10,5,mb,,84,0.891,0.89,us,usb000sa3g,2014-09-07T13:27:15.667Z,"100km WNW of Rabaul, Papua New Guinea",earthquake
2014-09-07T04:35:47.990Z,-21.4745,-178.8763,560.46,4.6,mb,,76,4.705,0.95,us,usb000sa3b,2014-09-07T12:41:08.607Z,"93km SSW of Ndoi Island, Fiji",earthquake
2014-09-07T03:49:39.400Z,19.135,-68.3608,24,3.1,Md,10,288,0.61804092,0.31,pr,pr14250000,2014-09-07T11:52:18.886Z,"61km N of Punta Cana, Dominican Republic",earthquake
2014-09-07T03:27:44.560Z,64.7482,-17.4403,10,4.3,mb,,101,6.011,0.69,us,usb000sa65,2014-09-10T03:46:42.312Z,"108km SSE of Akureyri, Iceland",earthquake
2014-09-07T03:18:12.200Z,22.6189,141.9165,235.58,4.2,mb,,134,13.384,0.61,us,usb000sa35,2014-09-10T03:08:26.785Z,"246km SSE of Iwo Jima, Japan",earthquake
2014-09-07T03:08:15.000Z,51.6087,-175.7801,25.4,3.7,ml,,,,0.87,ak,ak11382183,2014-09-07T11:10:50.289Z,"67km ESE of Adak, Alaska",earthquake
2014-09-07T01:59:48.050Z,37.3879,71.8274,127.3,4.1,mb,,57,1.032,0.84,us,usb000sa2r,2014-09-10T02:21:45.339Z,"14km N of Roshtqal'a, Tajikistan",earthquake
2014-09-06T23:33:08.000Z,24.0029,122.9273,23.84,4.8,mb,,34,1.229,0.86,us,usb000sa27,2014-09-07T07:35:44.370Z,"51km S of Yonakuni, Japan",earthquake
2014-09-06T23:14:15.960Z,14.1164,-91.1756,75.25,4.1,mb,,160,0.645,1.01,us,usb000sa24,2014-09-07T07:16:52.568Z,"14km WNW of La Gomera, Guatemala",earthquake
2014-09-06T21:34:20.120Z,36.6926,54.883,10,4.5,mb,,52,2.858,1.28,us,usb000sa1n,2014-09-07T17:44:21.931Z,"31km NNW of Shahrud, Iran",earthquake
2014-09-06T20:41:50.710Z,-18.0086,-172.5675,21.79,4.8,mb,,58,2.72,0.91,us,usb000sa1c,2014-09-07T04:44:17.234Z,"165km ENE of Neiafu, Tonga",earthquake
2014-09-06T19:52:57.600Z,-26.6056,-114.7393,10.51,5.3,mb,,66,34.901,0.73,us,usb000sa1b,2014-09-07T03:55:30.271Z,"Easter Island region",earthquake
2014-09-06T19:23:00.060Z,18.839,-107.0213,18.34,5.9,mwb,,66,5.532,0.99,us,usb000sa0z,2014-09-09T22:43:05.000Z,"222km WSW of Tomatlan, Mexico",earthquake
2014-09-06T18:53:59.100Z,36.6357,-97.7,5,3.4,mwr,,70,,0.78,us,usb000sa0k,2014-09-09T17:23:32.302Z,"19km S of Medford, Oklahoma",earthquake
2014-09-06T18:18:14.350Z,14.7334,-93.4465,55.41,4.5,mb,,183,1.707,0.72,us,usb000sa0a,2014-09-09T17:02:35.198Z,"97km SW of Mapastepec, Mexico",earthquake
2014-09-06T17:12:18.140Z,25.0147,95.3733,131.16,4.7,mb,,40,3.231,0.65,us,usb000sa01,2014-09-09T15:15:37.375Z,"113km SE of Phek, India",earthquake
2014-09-06T15:38:00.800Z,19.038,-66.9281,48,3.1,Md,9,302.4,0.59288809,0.36,pr,pr14249060,2014-09-06T23:40:30.804Z,"60km N of Isabela, Puerto Rico",earthquake
2014-09-06T12:51:46.130Z,-20.788,-114.0259,10,4.8,mb,,104,7.629,0.81,us,usb000s9yf,2014-09-06T20:55:21.598Z,"Southern East Pacific Rise",earthquake
2014-09-06T11:59:27.270Z,51.9728,178.4006,120.59,4.6,mb,,85,0.818,0.73,us,usb000s9y1,2014-09-06T20:02:01.104Z,"7km WNW of Little Sitkin Island, Alaska",earthquake
2014-09-06T11:17:01.950Z,14.5908,-93.222,39.81,4.4,mb,,185,1.479,0.94,us,usb000s9xp,2014-09-06T19:19:33.984Z,"87km W of Puerto Madero, Mexico",earthquake
2014-09-06T11:15:15.100Z,19.0548,-65.7932,57,3,Md,3,320.4,0.78063598,0.15,pr,pr14249062,2014-09-07T07:03:28.083Z,"69km N of Loiza, Puerto Rico",earthquake
2014-09-06T10:47:58.310Z,-25.5642,179.3873,508.19,4.5,mb,,89,4.374,1.05,us,usb000s9xt,2014-09-06T18:51:14.570Z,"South of the Fiji Islands",earthquake
2014-09-06T10:37:43.420Z,40.3794,115.6392,7.4,4.2,mb,,88,0.542,1.3,us,usb000s9x9,2014-09-10T05:09:17.752Z,"52km WNW of Changping, China",earthquake
2014-09-06T09:49:52.200Z,19.1116,-65.7932,34,3.1,Md,4,306,0.83633153,0.09,pr,pr14249054,2014-09-06T17:53:19.094Z,"75km N of Loiza, Puerto Rico",earthquake
2014-09-06T09:45:20.200Z,18.9493,-65.8089,71,3,Md,3,316.8,0.67463478,0.15,pr,pr14249053,2014-09-06T17:47:58.883Z,"57km N of Loiza, Puerto Rico",earthquake
2014-09-06T09:14:24.350Z,5.9337,125.9264,116.14,4.7,mb,,116,1.18,1.01,us,usb000s9x0,2014-09-06T17:17:02.425Z,"27km ESE of Mangili, Philippines",earthquake
2014-09-06T09:03:51.120Z,-11.1495,164.7939,10,4.7,mb,,132,4.873,0.79,us,usb000s9wx,2014-09-06T17:06:27.480Z,"123km WSW of Lata, Solomon Islands",earthquake
2014-09-06T09:03:45.400Z,19.0839,-65.823,40,3,Md,4,309.6,0.80848376,0.05,pr,pr14249051,2014-09-06T17:06:23.785Z,"72km N of Loiza, Puerto Rico",earthquake
2014-09-06T08:37:46.590Z,-26.7374,-114.5061,10,5.1,mb,,156,4.633,0.52,us,usb000s9wt,2014-09-06T16:40:25.024Z,"Easter Island region",earthquake
2014-09-06T08:31:57.530Z,42.0547,142.5489,65.1,4.8,mb,,71,0.454,0.71,us,usb000s9wr,2014-09-06T16:34:38.747Z,"34km SSE of Shizunai, Japan",earthquake
2014-09-06T07:48:34.900Z,-26.7777,-114.5115,10,5.4,mb,,38,4.633,1.17,us,usb000s9wc,2014-09-07T03:56:05.000Z,"Easter Island region",earthquake
2014-09-06T07:36:57.600Z,19.0942,-65.7565,36,3,Md,13,248.4,0.8228568,0.34,pr,pr14249056,2014-09-06T18:12:39.309Z,"74km N of Vieques, Puerto Rico",earthquake
2014-09-06T07:32:22.900Z,18.8603,-64.9095,21,3.1,Md,5,288,0.50754814,0.07,pr,pr14249024,2014-09-06T15:34:52.015Z,"57km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2014-09-06T07:19:08.500Z,19.1569,-65.7545,38,3.2,Md,14,277.2,0.88484055,0.31,pr,pr14249021,2014-09-06T15:21:49.141Z,"81km N of Loiza, Puerto Rico",earthquake
2014-09-06T07:14:18.400Z,19.1096,-65.7875,31,3.2,Md,18,234,0.83543321,0.36,pr,pr14249019,2014-09-06T15:16:46.494Z,"75km N of Loiza, Puerto Rico",earthquake
2014-09-06T07:06:16.800Z,19.0772,-65.7624,42,3.1,Md,15,244.8,0.82195848,0.6,pr,pr14249020,2014-09-06T15:08:57.518Z,"72km N of Loiza, Puerto Rico",earthquake
2014-09-06T07:04:38.700Z,19.1608,-65.7768,46,3,Md,13,262.8,0.8875355,0.28,pr,pr14249055,2014-09-06T16:51:28.687Z,"81km N of Loiza, Puerto Rico",earthquake
2014-09-06T07:04:07.910Z,-26.8945,-114.6307,10,5.2,mb,,172,4.73,0.68,us,usb000s9vy,2014-09-06T15:06:34.739Z,"Easter Island region",earthquake
2014-09-06T07:00:51.900Z,19.0252,-65.7874,54,3.3,Md,22,216,0.75099158,0.25,pr,pr14249018,2014-09-06T15:03:20.547Z,"66km N of Loiza, Puerto Rico",earthquake
2014-09-06T06:53:13.510Z,-26.6255,-114.4561,10,6.1,mb,,37,4.601,0.82,us,usb000s9vv,2014-09-09T17:06:28.000Z,"Easter Island region",earthquake
2014-09-06T06:17:57.400Z,19.1068,-65.7898,32,3.3,Md,16,234,0.83183995,0.73,pr,pr14249017,2014-09-06T14:25:23.517Z,"75km N of Loiza, Puerto Rico",earthquake
2014-09-06T06:10:59.800Z,19.0963,-65.7819,34,3,Md,16,234,0.82195848,0.36,pr,pr14249029,2014-09-06T14:13:30.902Z,"74km N of Loiza, Puerto Rico",earthquake
2014-09-06T06:06:53.700Z,19.1116,-65.7679,37,3.7,Md,24,208.8,0.8525012,0.33,pr,pr14249014,2014-09-06T14:16:49.401Z,"75km N of Suarez, Puerto Rico",earthquake
2014-09-06T06:03:53.440Z,-55.3244,-28.1888,13.6,5.1,mb,,75,4.913,0.62,us,usb000s9vf,2014-09-06T14:08:13.540Z,"165km NNW of Visokoi Island, ",earthquake
2014-09-06T05:40:51.670Z,64.7173,-17.4242,5,5,mb,,76,1.675,0.65,us,usb000s9va,2014-09-06T13:44:41.714Z,"112km SSE of Akureyri, Iceland",earthquake
2014-09-06T05:22:07.000Z,59.1255,-151.4152,65.6,3.7,ml,,,,0.76,ak,ak11381290,2014-09-06T18:12:32.565Z,"58km S of Homer, Alaska",earthquake
2014-09-06T05:00:11.600Z,19.0291,-65.8235,50,3.1,Md,5,255.6,0.75727978,0.09,pr,pr14249044,2014-09-06T13:51:56.095Z,"66km N of Loiza, Puerto Rico",earthquake
2014-09-06T04:37:50.350Z,37.471,72.3617,47.41,4.8,mb,,55,1.465,0.63,us,usb000s9uu,2014-09-06T12:40:30.066Z,"53km ENE of Roshtqal'a, Tajikistan",earthquake
2014-09-06T04:18:34.700Z,19.0097,-65.811,39,3.1,Md,14,237.6,0.7348219,0.2,pr,pr14249039,2014-09-06T12:59:50.157Z,"64km N of Loiza, Puerto Rico",earthquake
2014-09-06T04:13:43.200Z,18.972,-65.834,52,3,Md,11,248.4,0.70068592,0.11,pr,pr14249037,2014-09-06T12:29:07.560Z,"60km N of Loiza, Puerto Rico",earthquake
